frame,arquivo,gt,pred,levenshtein,acerto_por_letra,conf_media
0,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000000.jpg,HONDUH,HONDUK,1,0.8333,-0.8
1,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000001.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
2,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000002.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
3,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000003.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
4,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000004.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
5,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000005.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
6,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000006.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
7,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000007.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
8,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000008.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
9,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000009.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
10,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000010.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
11,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000011.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
12,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000012.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
13,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000013.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
14,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000014.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
15,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\detect\predict_python\crops\placa\frame_000015.jpg,HONDUH,IHONDUL,2,0.6667,-0.8
