frame,arquivo,gt,pred,levenshtein,acerto_por_letra,conf_media
0,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000000_pad32_0.jpg,HONDUH,S,6,0.0,-0.8
1,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000001_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
2,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000002_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
3,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000003_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
4,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000004_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
5,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000005_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
6,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000006_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
7,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000007_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
8,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000008_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
9,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000009_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
10,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000010_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
11,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000011_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
12,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000012_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
13,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000013_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
14,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000014_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
15,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000015_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
16,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000016_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
17,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000017_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
18,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000018_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
19,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000019_pad32_0.jpg,HONDUH,ONLP,4,0.3333,-0.3
21,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000021_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
22,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000022_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
23,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000023_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
24,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000024_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
